Activity;Begin; Stop;Begin; Stop;Begin; Stop;Begin; Stop;Begin; Stop;
1;0.0;2.4665206095963583;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
2;2.4665206095963583;7.849063433447986;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
3;7.849063433447986;11.095526512182053;80.44332209454991;81.41726101817014;82.10746310848094;83.08140203210117;83.77160412241197;84.7455430460322;0.0;0.0;
5;11.095526512182053;28.350578769952087;28.824113226488304;29.514315316799106;78.37271582361751;80.44332209454991;81.41726101817014;82.10746310848094;83.08140203210117;83.77160412241197;
8;11.095526512182053;18.558007106507556;78.37271582361751;80.44332209454991;81.41726101817014;82.10746310848094;83.08140203210117;84.05183396802072;0.0;0.0;
6;18.558007106507556;28.824113226488304;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
4;18.558007106507556;28.653208800738287;81.41726101817014;82.10746310848094;83.08140203210117;83.77160412241197;84.7455430460322;88.69540535996443;0.0;0.0;
9;28.350578769952087;28.824113226488304;29.514315316799106;49.0613986419666;84.7455430460322;87.74863571328775;0.0;0.0;0.0;0.0;
7;29.514315316799106;38.936624384612024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
13;29.514315316799106;62.65577195927018;84.7455430460322;95.88107247790249;0.0;0.0;0.0;0.0;0.0;0.0;
10;49.0613986419666;59.218787573535295;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
12;62.65577195927018;78.37271582361751;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
11;62.65577195927018;78.37271582361751;95.88107247790249;103.10113645798589;0.0;0.0;0.0;0.0;0.0;0.0;
14;103.10113645798589;107.95086733982566;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
